power,sample_size
0.115,5
0.224,6
0.327,7
0.418,8
0.54,9
0.62,10
0.724,11
0.78,12
0.836,13
0.882,14
0.904,15
0.941,16
0.951,17
0.973,18
0.98,19
0.982,20
0.989,21
0.992,22
0.996,23
0.995,24
0.997,25
1,26
0.999,27
0.999,28
1,29
1,30
1,31
1,32
1,33
1,34
1,35
1,36
1,37
1,38
1,39
1,40
1,41
1,42
1,43
1,44
1,45
1,46
1,47
1,48
1,49
1,50
1,51
1,52
1,53
1,54
1,55
1,56
1,57
1,58
1,59
1,60
1,61
1,62
1,63
1,64
1,65
1,66
1,67
1,68
1,69
1,70
1,71
1,72
1,73
1,74
1,75
1,76
1,77
1,78
1,79
1,80
1,81
1,82
1,83
1,84
1,85
1,86
1,87
1,88
1,89
1,90
1,91
1,92
1,93
1,94
1,95
1,96
1,97
1,98
1,99
1,100
